;link
66;http://www.dakaractu.com/SCANDALE-AU-MARCHE-CASTORS-Des-vendeurs-lavent-leurs-legumes-dans-l-eau-de-la-pluie_a118306.htmlTHERESE-FAYE-AU-FORUM-DE-KAOLACK-L-opposition-cherche-a-perturber-ce-pays_a120002.html
67;http://www.dakaractu.com/SCANDALE-AU-MARCHE-CASTORS-Des-vendeurs-lavent-leurs-legumes-dans-l-eau-de-la-pluie_a118306.htmlTounkara-a-Me-El-hadj-Diouf-Tu-ne-devrais-pas-defendre-Franck-Timis-VIDEO_a120051.html
68;http://www.dakaractu.com/SCANDALE-AU-MARCHE-CASTORS-Des-vendeurs-lavent-leurs-legumes-dans-l-eau-de-la-pluie_a118306.htmlTrop-c-est-trop-le-spectaculaire-discours-de-Michelle-Obama-contre-Donald-Trump_a119896.html
69;http://www.dakaractu.com/SCANDALE-AU-MARCHE-CASTORS-Des-vendeurs-lavent-leurs-legumes-dans-l-eau-de-la-pluie_a118306.htmlVIDEO-ZIARRA-ACHOURA-2016-A-TIVAOUANE-Entretien-Avec-les-Ministres-Mame-Mbaye-Niang-et-Abdou-Ndene-Sall_a119921.html
70;http://www.dakaractu.com/SCANDALE-AU-MARCHE-CASTORS-Des-vendeurs-lavent-leurs-legumes-dans-l-eau-de-la-pluie_a118306.htmlWATTU-SENEGAL-MOBILISE-LA-PRESSE-ETRANGERE_a119936.html
71;http://www.dakaractu.com/SCANDALE-AU-MARCHE-CASTORS-Des-vendeurs-lavent-leurs-legumes-dans-l-eau-de-la-pluie_a118306.htmljavascript:void(0)
72;http://www.dakarposte.com/Convocation-de-Barthelemy-Dias-Cheikh-Bamba-Dieye-denonce-une-justice-climatique_a10423.html
73;http://www.enqueteplus.com#mediafront_enqueteplusvideopreset_mediaembed/content/sinistres-du-cices
74;http://www.enqueteplus.com/content/commentaire-par-ibrahima-khalil-wade-encore-une-erreur-de-strat%C3%A9gie-de-l%E2%80%99opposition/content/sinistres-du-cices
75;http://www.enqueteplus.com/content/foot-mercato-chelsea-fc-naples-pr%C3%AAt-%C3%A0-c%C3%A9der-koulibaly-pour-batshuayi/content/sinistres-du-cices
76;http://www.enqueteplus.com/content/sinistres-du-cices
77;http://www.enqueteplus.com/node?page=1695/content/sinistres-du-cices
78;http://www.enqueteplus.com/search/content/sinistres-du-cices
79;http://www.ferloo.com/2016/10/18/tout-sur-le-rapport-du-dr-bakary-sambe-sur-les-jeunes-de-la-banlieue-et-le-terrorisme-a27235.html
80;http://www.google.com/bookmarks/mark?op=edit&bkmk=http://www.sunuker.com/2015/05/26/video-quand-le-parapluie-du-gentleman-obama-embrase-les-reseaux-sociaux/&title=VIDEO – Quand le parapluie du « gentleman » Obama embrase les réseaux sociaux
81;http://www.igfm.sn/indemnisations-dans-laffaire-de-lincendie-de-la-foire-lassociation-des-sinistres-dement/
82;http://www.ledakarois.netbethio-radie-ses-cheikhs-apres-le-ndigueul-du-khalife.html
83;http://www.leral.net/Convocation-de-Barthelemy-Dias-Cheikh-Bamba-Dieye-denonce-une-justice-climatique_a182826.html
84;http://www.lesoleil.sn/2016-03-22-23-29-31/item/56573-saisie-de-55-tonnes-de-pommes-de-terre-avariees-quatre-operateurs-economiques-places-derriere-les-barreaux.html/2016-03-22-23-29-31/item/54261-meteo-accalmie-pluviometrique-sur-le-nord-et-le-centre-sur-fond-de-canicule.html
85;http://www.lesoleil.sn/2016-03-22-23-38-25/item/56584-concert-au-grand-theatre-le-rappeur-nit-doff-reussit-son-pari-a-guichet-ferme.html/2016-03-22-23-38-25/item/54261-meteo-accalmie-pluviometrique-sur-le-nord-et-le-centre-sur-fond-de-canicule.html
86;http://www.lesoleil.sn/component/k2/item/39177-abdou-latif-coulibaly-ministre-de-la-promotion-de-la-bonne-gouvernance-porte-parole-du-gouvernement-l-attendons-les-locales-pour-voir-si-le-pds-a-ebranle-le-pouvoir-r.html/component/k2/item/54261-meteo-accalmie-pluviometrique-sur-le-nord-et-le-centre-sur-fond-de-canicule.html
87;http://www.lesoleil.sn/component/k2/item/54261-meteo-accalmie-pluviometrique-sur-le-nord-et-le-centre-sur-fond-de-canicule.html
88;http://www.lesoleil.sn/component/k2/item/54378-france-le-conseil-d-etat-suspend-l-arrete-anti-burkini-sur-les-plages.html/component/k2/item/54261-meteo-accalmie-pluviometrique-sur-le-nord-et-le-centre-sur-fond-de-canicule.html
89;http://www.lesoleil.sn/component/k2/item/54507-la-bataille-de-l-afrique-est-engagee.html/component/k2/item/54261-meteo-accalmie-pluviometrique-sur-le-nord-et-le-centre-sur-fond-de-canicule.html
90;http://www.lesoleil.sn/component/k2/item/56059-audience-au-palais-rama-yade-recue-par-le-chef-de-l-etat.html/component/k2/item/54261-meteo-accalmie-pluviometrique-sur-le-nord-et-le-centre-sur-fond-de-canicule.html
91;http://www.meteo-senegal.net
92;http://www.meteo-senegal.net/html/tpsclimat.htm
93;http://www.meteocity.com/senegal/dakar_v99004/
94;http://www.ndarinfo.com/Changements-climatiques-un-projet-veut-sensibiliser-les-eleves-de-Saint-Louis_a8459.html
95;http://www.ndarinfo.com/Charles-Fall-Dg-de-la-Sones-En-3-ans-l-Etat-a-mobilise-449-milliards-de-FCfa-en-faveur-de-l-hydraulique-urbaine_a17225.html/Convocation-de-Barthelemy-Dias-Cheikh-Bamba-Dieye-denonce-une-justice-climatique_a17228.html
96;http://www.ndarinfo.com/REGATES-le-dynamisme-du-comite-d-organisation-magnifie_a17206.html/Convocation-de-Barthelemy-Dias-Cheikh-Bamba-Dieye-denonce-une-justice-climatique_a17228.html
97;http://www.ndarinfo.com/search/gandon//Changements-climatiques-un-projet-veut-sensibiliser-les-eleves-de-Saint-Louis_a8459.html
98;http://www.planete-senegal.com//senegal/meteo_senegal.php
99;http://www.planete-senegal.com/NOREF/circuits.html/senegal/meteo_senegal.php
100;http://www.planete-senegal.com/annonces/detail.php?cat=14&de=44673/senegal/meteo_senegal.php?PHPSESSID=2b5c8c8942626c07668e7e6ff029cb5b
101;http://www.planete-senegal.com/annonces/detail.php?cat=16&de=40218/senegal/meteo_senegal.php?PHPSESSID=a81aa0eb1348afc0d41b19900e77b22e
102;http://www.planete-senegal.com/annonces/detail.php?cat=34&de=47758/senegal/meteo_senegal.php?PHPSESSID=0006885f059ad27aeecbdcc8738f0236
103;http://www.planete-senegal.com/int/communaute/index.php?menu=membre&destid=72280/senegal/meteo_senegal.php?PHPSESSID=a7b353b88470a732539602e2a92043ae
104;http://www.planete-senegal.com/int/communaute/index.php?menu=membre&destid=72292/senegal/meteo_senegal.php?PHPSESSID=e2af9374ba501f51c3286ed9561a9c5b
105;http://www.planete-senegal.com/senegal/23e_BIMa.php/senegal/meteo_senegal.php
106;http://www.planete-senegal.com/senegal/arts_martiaux_senegal.php/senegal/meteo_senegal.php
107;http://www.planete-senegal.com/senegal/associations_senegal.php/senegal/meteo_senegal.php
108;http://www.planete-senegal.com/senegal/consconnes_senegal.php/senegal/meteo_senegal.php
109;http://www.planete-senegal.com/senegal/dakar_environs.php/senegal/meteo_senegal.php
110;http://www.planete-senegal.com/senegal/djoudj_parc_national.php/senegal/meteo_senegal.php
111;http://www.planete-senegal.com/senegal/endroits_les_plus_dangereux_du_senegal.php/senegal/meteo_senegal.php
112;http://www.planete-senegal.com/senegal/geographie_senegal.php/senegal/meteo_senegal.php
113;http://www.planete-senegal.com/senegal/geographie_senegal.phpagriculture_senegal.php?PHPSESSID=1a52e872400180486669db929b68e784#pluiesvegetal
114;http://www.planete-senegal.com/senegal/geographie_senegal.phpmeteo_senegal.php?PHPSESSID=1a52e872400180486669db929b68e784
115;http://www.planete-senegal.com/senegal/les_niayes.php/senegal/meteo_senegal.php
116;http://www.planete-senegal.com/senegal/lexique_recherche.php/senegal/meteo_senegal.php
117;http://www.planete-senegal.com/senegal/lexique_recherche.phpagriculture_senegal.php#pluiesvegetal
118;http://www.planete-senegal.com/senegal/lexique_recherche.phpmeteo_senegal.php
119;http://www.planete-senegal.com/senegal/meteo_senegal.php
120;http://www.planete-senegal.com/senegal/senegal_central_ferlo.php/senegal/meteo_senegal.php
121;http://www.planete-senegal.com/senegal/sine_saloum.php/senegal/meteo_senegal.php
122;http://www.senegaltribune.com/articles/1284/1/Livre-Le-roman-de-Pauline--La-banlieue-selon-Calixthe-Beyala/Page1.html
123;http://www.senegaltribune.com/articles/1372/1/EAU-ET-AGRICULTURE--Pour-un-paysannat-moins-tributaire-des-pluies/Page1.html
124;http://www.senegaltribune.com/articles/1682/1/Gestion-des-inondations--Wade-maintient-la-tete-hors-de-leau/Page1.html
125;http://www.senegaltribune.com/articles/1873/1/Formation-en-menuiserie-sculpture-peinture-ou-dessin-des-jeunes-de-la-banlieue/Page1.html
126;http://www.senegaltribune.com/articles/1876/1/DEBUT-DHIVERNAGE--Diourbel-a-enregistre-sa-premiere-pluie/Page1.html
127;http://www.senegaltribune.com/articles/1994/1/Le-rechauffement-climatique-au-menu-du-magazine--Ecran-Vert-/Page1.html
128;http://www.senegaltribune.com/articles/2060/1/Consequences-desastreuses-du-changement-climatique-sur-les-pauvres--Les-pays-riches-pollueurs-doivent-payer-selon-Kofi-Annan/Page1.html
129;http://www.senegaltribune.com/articles/2074/1/SAN-JON--Une-fete-bien-arrosee-par-la-pluie/Page1.html
130;http://www.senegaltribune.com/articles/2121/1/Inscription-et-maintien-des-filles-a-lecole--Les-enseignantes-de-la-banlieue-sonnent-la-mobilisation/Page1.html
